id,artists_id,uploaded_by
1275,786,934994947731
1279,390,"713815986884,713815986884,713815986884"
1281,"335,329,323,168",713815986884
1300,29,874158820580
1304,799,874158820580
1353,824,"804121600141,296272052435"
10726,"3889,3890",531129283270
2193,1207,"979910711272,410618275779"
3200,1134,"874158820580,407575456169,245143586034"
7760,259,951313012753
8238,2415,122678901963
5209,,314462754950
1315,802,867935070956
1318,"804,456",867935070956
1320,,926529509896
1321,282,867935070956
1185,738,102374066294
1323,805,867935070956
1324,"806,807",867935070956
8307,1695,"760029738066,426362434662,951313012753"
43,"47,48",874158820580
1289,792,140289111734
1297,"795,796",867935070956
1305,575,"509760591885,653911562158"
1306,800,776694933307
1314,801,579377061875
1328,126,874158820580
1340,716,296272052435
7761,"2991,2992,1018,2993",123317730197
1334,300,867935070956
2194,146,509760591885
2772,1457,874158820580
8263,798,413739000844
8286,3147,"368390667456,426362434662,248275867936"
8310,3153,175682234295
8430,"527,528,641","438071472030,812649641749"
1362,54,"394117657821,867935070956"
942,628,"661251333274,750156468469"
1322,641,"867935070956,812649641749"
1330,809,804121600141
1332,811,867935070956
1336,814,321316551291
1339,816,296272052435
1344,228,929819142165
1345,820,296272052435
1346,821,296272052435
1347,822,799443797620
1349,146,"509760591885,509760591885"
1355,175,874158820580
1358,244,428393280338
1370,830,769929183709
8272,393,706302919753
8573,"165,67,3244",472558623157
1394,"29,127,636,28",929819142165
1375,833,867935070956
8299,411,"934291818657,175682234295"
1357,825,979172156527
108,101,"753128310892,753128310892"
701,342,"509760591885,509760591885"
1195,"631,349",230986011321
1354,365,383616851268
1361,760,684627654521
1363,827,929819142165
1368,829,979910711272
1373,"831,571,17",874158820580
1377,172,509760591885
1379,836,296272052435
1381,839,140289111734
1384,92,874158820580
1388,504,509760591885
1391,774,874158820580
1395,843,509760591885
1396,265,529287433425
1397,844,509760591885
1398,844,509760591885
3627,,"618355761471,618355761471"
1392,842,867935070956
2775,1458,974609541585
3033,1558,130713082052
8280,365,438071472030
1207,"54,344",383616851268
1390,841,"115890368776,122678901963,620810420306,158358714146,450900851690"
2587,"452,261,147","783298102704,604665014408,339046812284,339046812284,616040736095"
