id,file_id,unique_file_id,artists_id,uploaded_by,chat_id,message_id,likes_count,dislikes_count,reactions_count
4488,5228805027098790228,7844721641090553409,545,869955988052,-1004482228130,8349,5,0,5
10071,5765107049205602690,1739402769961889160,1074,868239522489,-1004482228130,16495,2,0,2
4489,5798582964908464747,-1229711745855406447,247,257206398811,-1004482228130,8350,11,0,11
4501,5458867059137972310,9031701299969773202,2028,261672904480,-1004482228130,8365,4,0,4
10072,5764679880348276932,5144442409553655563,3708,616554609597,-1004482228130,16501,1,0,1
10195,6014616061800881824,-43330443319863090,,362057624131,-1004482228130,16687,4,0,4
4492,5979004349056034615,7990666174329103374,247,"916532885936,916532885936,629902110827",-1004482228130,8354,18,0,18
4502,5821022674381448098,2926104498245704418,545,971657212338,-1004482228130,8366,5,0,5
4495,5870965292833705741,-1666163513247342679,"247,1933","964657504129,362057624131",-1004482228130,8357,11,0,11
4482,5436039084621431223,2793536017185425145,57,315631053874,-1004482228130,8342,5,0,5
5323,6025817692991128878,852254305090004209,"7,634","858030157299,824142047736",-1004482228130,9435,18,0,18
4496,5415955787480567678,-6785563413722201883,2026,"175682234295,175682234295",-1004482228130,8358,6,0,6
4485,6024109425583719589,-1884765882156081599,545,706302919753,-1004482228130,8346,6,0,6
